年,降水量,気温,湿度,風向・風速,"日照
時間
(h)",雪(寒候年),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
2005,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2006,843 ],68 ],40 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2007,628,44,18,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2008,611.0,33.5 ],26.5,2.5 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2009,855.5,56.5,23.5,16.5,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2010,1037.5,59.5,36.0,19.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2011,985.5,56.0,18.0,9.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2012,965.5,72.0,24.5,10.5,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2013,948.0,50.5,31.5,16.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2014,924.5,100.5,32.5,8.5,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2015,973.5,81.5,16.5,9.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2016,880.0 ],52.0 ],18.0 ],11.0 ],///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2017,968.0,43.5,22.5,10.5,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2018,956.0,47.5,10.0,6.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2019,703.0,73.5,35.0,13.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2020,1041.0,57.5,25.0,10.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2021,979.5,35.0,31.5,20.0,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
2022,886.0,68.0,15.0,8.5,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///,///
